frame,condition,region,pixel_frac,mean_w,min_w,frac_w_lt_0p99,frac_w_lt_0p95,frac_w_lt_0p90,mean_abs_st_minus_mono
0039:0013,clean,textured,0.9958569637345679,0.9998959898948669,0.9978660345077515,0.0,0.0,0.0,6.547911643981934
0039:0013,fog,all,1.0,0.999838650226593,0.9977754354476929,0.0,0.0,0.0,3.7437620162963867
0039:0013,fog,valid,1.0,0.999838650226593,0.9977754354476929,0.0,0.0,0.0,3.7437620162963867
0039:0013,fog,nonsky,1.0,0.999838650226593,0.9977754354476929,0.0,0.0,0.0,3.7437620162963867
0039:0013,fog,textureless,0.1856737075617284,0.999833881855011,0.9977754354476929,0.0,0.0,0.0,3.18574595451355
0039:0013,fog,textured,0.8143262924382716,0.9998400211334229,0.9980965256690979,0.0,0.0,0.0,3.8709959983825684
0039:0013,frost,all,1.0,0.9993504285812378,0.997934103012085,0.0,0.0,0.0,3.0352978706359863
0039:0013,frost,valid,1.0,0.9993504285812378,0.997934103012085,0.0,0.0,0.0,3.0352978706359863
0039:0013,frost,nonsky,1.0,0.9993504285812378,0.997934103012085,0.0,0.0,0.0,3.0352978706359863
0039:0013,frost,textureless,4.822530864197531e-06,0.9993847608566284,0.9993746280670166,0.0,0.0,0.0,3.7066407203674316
0039:0013,frost,textured,0.9999951774691358,0.9993504285812378,0.997934103012085,0.0,0.0,0.0,3.0352935791015625
0039:0013,snow,all,1.0,0.9995757341384888,0.9977477192878723,0.0,0.0,0.0,16.602853775024414
0039:0013,snow,valid,1.0,0.9995757341384888,0.9977477192878723,0.0,0.0,0.0,16.602853775024414
0039:0013,snow,nonsky,1.0,0.9995757341384888,0.9977477192878723,0.0,0.0,0.0,16.602853775024414
0039:0013,snow,textureless,7.2337962962962966e-06,0.9993986487388611,0.9993226528167725,0.0,0.0,0.0,1.34765625
0039:0013,snow,textured,0.9999927662037037,0.9995755553245544,0.9977477192878723,0.0,0.0,0.0,16.602954864501953
0039:0026,clean,all,1.0,0.9998989701271057,0.9981264472007751,0.0,0.0,0.0,6.0092878341674805
0039:0026,clean,valid,1.0,0.9998989701271057,0.9981264472007751,0.0,0.0,0.0,6.0092878341674805
0039:0026,clean,nonsky,1.0,0.9998989701271057,0.9981264472007751,0.0,0.0,0.0,6.0092878341674805
0039:0026,clean,textureless,0.004044174382716049,0.9999860525131226,0.9995675086975098,0.0,0.0,0.0,11.230350494384766
0039:0026,clean,textured,0.9959558256172839,0.9998986721038818,0.9981264472007751,0.0,0.0,0.0,5.988090991973877
0039:0026,fog,all,1.0,0.9998401403427124,0.9960005879402161,0.0,0.0,0.0,3.2117199897766113
0039:0026,fog,valid,1.0,0.9998401403427124,0.9960005879402161,0.0,0.0,0.0,3.2117199897766113
0039:0026,fog,nonsky,1.0,0.9998401403427124,0.9960005879402161,0.0,0.0,0.0,3.2117199897766113
0039:0026,fog,textureless,0.18461564429012345,0.9998307824134827,0.9960005879402161,0.0,0.0,0.0,2.664846181869507
0039:0026,fog,textured,0.8153843557098766,0.9998424053192139,0.9980449676513672,0.0,0.0,0.0,3.3355395793914795
0039:0026,frost,all,1.0,0.9999537467956543,0.998585045337677,0.0,0.0,0.0,37.77435302734375
0039:0026,frost,valid,1.0,0.9999537467956543,0.998585045337677,0.0,0.0,0.0,37.77435302734375
0039:0026,frost,nonsky,1.0,0.9999537467956543,0.998585045337677,0.0,0.0,0.0,37.77435302734375
0039:0026,frost,textured,1.0,0.9999537467956543,0.998585045337677,0.0,0.0,0.0,37.77435302734375
0039:0026,snow,all,1.0,0.9995449781417847,0.997898280620575,0.0,0.0,0.0,14.323172569274902
0039:0026,snow,valid,1.0,0.9995449781417847,0.997898280620575,0.0,0.0,0.0,14.323172569274902
0039:0026,snow,nonsky,1.0,0.9995449781417847,0.997898280620575,0.0,0.0,0.0,14.323172569274902
0039:0026,snow,textureless,5.787037037037037e-06,0.9990702271461487,0.9986788630485535,0.0,0.0,0.0,1.138671875
0039:0026,snow,textured,0.999994212962963,0.9995449185371399,0.997898280620575,0.0,0.0,0.0,14.323247909545898
0039:0038,clean,all,1.0,0.999901533126831,0.9980476498603821,0.0,0.0,0.0,6.180198669433594
0039:0038,clean,valid,1.0,0.999901533126831,0.9980476498603821,0.0,0.0,0.0,6.180198669433594
0039:0038,clean,nonsky,1.0,0.999901533126831,0.9980476498603821,0.0,0.0,0.0,6.180198669433594
0039:0038,clean,textureless,0.004167148919753086,0.9999909400939941,0.9994156360626221,0.0,0.0,0.0,11.341297149658203
0039:0038,clean,textured,0.9958328510802469,0.9999011158943176,0.9980476498603821,0.0,0.0,0.0,6.158601760864258
0039:0038,fog,all,1.0,0.999845564365387,0.9972216486930847,0.0,0.0,0.0,3.6085057258605957
0039:0038,fog,valid,1.0,0.999845564365387,0.9972216486930847,0.0,0.0,0.0,3.6085057258605957
0039:0038,fog,nonsky,1.0,0.999845564365387,0.9972216486930847,0.0,0.0,0.0,3.6085057258605957
0039:0038,fog,textureless,0.18334587191358026,0.9998614192008972,0.9972216486930847,0.0,0.0,0.0,3.2505335807800293
0039:0038,fog,textured,0.8166541280864198,0.9998409748077393,0.9981567859649658,0.0,0.0,0.0,3.6888725757598877
0039:0038,frost,all,1.0,0.9999123215675354,0.9988560080528259,0.0,0.0,0.0,29.119762420654297
0039:0038,frost,valid,1.0,0.9999123215675354,0.9988560080528259,0.0,0.0,0.0,29.119762420654297
