model,frame,condition,prediction,region,abs_err_vs_gt,n
Full,0038:0048,frost,stereo_only,textureless,0.16847366094589233,157885
Full,0038:0048,frost,stereo_only,textured,0.6184878945350647,1915715
Full,0038:0048,frost,mono_only,valid,11.27955436706543,2073600
Full,0038:0048,frost,mono_only,sky,9.144730567932129,975822
Full,0038:0048,frost,mono_only,nonsky,13.17722225189209,1097778
Full,0038:0048,frost,mono_only,textureless,2.5642282962799072,157885
Full,0038:0048,frost,mono_only,textured,11.99783706665039,1915715
E0,0038:0048,snow,fused,valid,1.0086109638214111,2073600
E0,0038:0048,snow,fused,sky,1.490759253501892,975822
E0,0038:0048,snow,fused,nonsky,0.5800272226333618,1097778
E0,0038:0048,snow,fused,textureless,2.9841973781585693,4978
E0,0038:0048,snow,fused,textured,1.0038573741912842,2068622
Full,0038:0048,snow,fused,valid,0.6225231289863586,2073600
Full,0038:0048,snow,fused,sky,0.7939682602882385,975822
Full,0038:0048,snow,fused,nonsky,0.4701250493526459,1097778
Full,0038:0048,snow,fused,textureless,0.5540664792060852,4978
Full,0038:0048,snow,fused,textured,0.6226881742477417,2068622
Full,0038:0048,snow,stereo_only,valid,0.6219035983085632,2073600
Full,0038:0048,snow,stereo_only,sky,0.7925239205360413,975822
Full,0038:0048,snow,stereo_only,nonsky,0.47023823857307434,1097778
Full,0038:0048,snow,stereo_only,textureless,0.553552508354187,4978
Full,0038:0048,snow,stereo_only,textured,0.6220682263374329,2068622
Full,0038:0048,snow,mono_only,valid,6.0850749015808105,2073600
Full,0038:0048,snow,mono_only,sky,3.8374111652374268,975822
Full,0038:0048,snow,mono_only,nonsky,8.083036422729492,1097778
Full,0038:0048,snow,mono_only,textureless,3.2892935276031494,4978
Full,0038:0048,snow,mono_only,textured,6.091804504394531,2068622
E0,0038:0072,clean,fused,valid,0.5182830691337585,2073600
E0,0038:0072,clean,fused,sky,0.6678368449211121,1066937
E0,0038:0072,clean,fused,nonsky,0.3597753643989563,1006663
E0,0038:0072,clean,fused,textureless,0.35878321528434753,459993
E0,0038:0072,clean,fused,textured,0.5637519955635071,1613607
Full,0038:0072,clean,fused,valid,0.5132666826248169,2073600
Full,0038:0072,clean,fused,sky,0.6585668325424194,1066937
Full,0038:0072,clean,fused,nonsky,0.35926660895347595,1006663
Full,0038:0072,clean,fused,textureless,0.3435116708278656,459993
Full,0038:0072,clean,fused,textured,0.5616588592529297,1613607
Full,0038:0072,clean,stereo_only,valid,0.5132630467414856,2073600
Full,0038:0072,clean,stereo_only,sky,0.6585042476654053,1066937
Full,0038:0072,clean,stereo_only,nonsky,0.3593248426914215,1006663
Full,0038:0072,clean,stereo_only,textureless,0.3435264825820923,459993
Full,0038:0072,clean,stereo_only,textured,0.5616496801376343,1613607
Full,0038:0072,clean,mono_only,valid,7.738128662109375,2073600
Full,0038:0072,clean,mono_only,sky,2.9464046955108643,1066937
Full,0038:0072,clean,mono_only,nonsky,12.816750526428223,1006663
Full,0038:0072,clean,mono_only,textureless,2.18800687789917,459993
Full,0038:0072,clean,mono_only,textured,9.320306777954102,1613607
E0,0038:0072,fog,fused,valid,55.919864654541016,2073600
E0,0038:0072,fog,fused,sky,107.9015884399414,1066937
E0,0038:0072,fog,fused,nonsky,0.8257290720939636,1006663
E0,0038:0072,fog,fused,textureless,79.53816223144531,1452571
E0,0038:0072,fog,fused,textured,0.677330493927002,621029
Full,0038:0072,fog,fused,valid,13.530896186828613,2073600
Full,0038:0072,fog,fused,sky,25.752483367919922,1066937
Full,0038:0072,fog,fused,nonsky,0.5775339603424072,1006663
Full,0038:0072,fog,fused,textureless,19.02082633972168,1452571
Full,0038:0072,fog,fused,textured,0.6900925636291504,621029
Full,0038:0072,fog,stereo_only,valid,13.531434059143066,2073600
Full,0038:0072,fog,stereo_only,sky,25.75348663330078,1066937
Full,0038:0072,fog,stereo_only,nonsky,0.5775801539421082,1006663
Full,0038:0072,fog,stereo_only,textureless,19.021512985229492,1452571
Full,0038:0072,fog,stereo_only,textured,0.6902814507484436,621029
Full,0038:0072,fog,mono_only,valid,6.735842227935791,2073600
Full,0038:0072,fog,mono_only,sky,6.027859210968018,1066937
Full,0038:0072,fog,mono_only,nonsky,7.486218452453613,1006663
Full,0038:0072,fog,mono_only,textureless,5.33410120010376,1452571
Full,0038:0072,fog,mono_only,textured,10.014484405517578,621029
E0,0038:0072,frost,fused,valid,0.8447446227073669,2073600
E0,0038:0072,frost,fused,sky,1.2026135921478271,1066937
E0,0038:0072,frost,fused,nonsky,0.4654485881328583,1006663
E0,0038:0072,frost,fused,textureless,0.7499517202377319,804
E0,0038:0072,frost,fused,textured,0.8447815775871277,2072796
Full,0038:0072,frost,fused,valid,0.6983759999275208,2073600
Full,0038:0072,frost,fused,sky,0.9111750721931458,1066937
Full,0038:0072,frost,fused,nonsky,0.4728359282016754,1006663
Full,0038:0072,frost,fused,textureless,0.2280622273683548,804
Full,0038:0072,frost,fused,textured,0.6985587477684021,2072796
Full,0038:0072,frost,stereo_only,valid,0.6973521709442139,2073600
Full,0038:0072,frost,stereo_only,sky,0.9092314839363098,1066937
Full,0038:0072,frost,stereo_only,nonsky,0.4727861285209656,1006663
Full,0038:0072,frost,stereo_only,textureless,0.22665877640247345,804
Full,0038:0072,frost,stereo_only,textured,0.6975342035293579,2072796
Full,0038:0072,frost,mono_only,valid,5.879572868347168,2073600
Full,0038:0072,frost,mono_only,sky,4.186770439147949,1066937
Full,0038:0072,frost,mono_only,nonsky,7.673733711242676,1006663
Full,0038:0072,frost,mono_only,textureless,2.0308291912078857,804
Full,0038:0072,frost,mono_only,textured,5.881065845489502,2072796
E0,0038:0072,snow,fused,valid,1.1221733093261719,2073600
E0,0038:0072,snow,fused,sky,1.6377331018447876,1066937
E0,0038:0072,snow,fused,nonsky,0.5757437348365784,1006663
E0,0038:0072,snow,fused,textureless,1.764068365097046,7320
E0,0038:0072,snow,fused,textured,1.119898796081543,2066280
Full,0038:0072,snow,fused,valid,0.6084412932395935,2073600
Full,0038:0072,snow,fused,sky,0.7035983204841614,1066937
Full,0038:0072,snow,fused,nonsky,0.5075863003730774,1006663
Full,0038:0072,snow,fused,textureless,0.45208707451820374,7320
Full,0038:0072,snow,fused,textured,0.6089949011802673,2066280
Full,0038:0072,snow,stereo_only,valid,0.6080594062805176,2073600
Full,0038:0072,snow,stereo_only,sky,0.7025655508041382,1066937
Full,0038:0072,snow,stereo_only,nonsky,0.5078942775726318,1006663
Full,0038:0072,snow,stereo_only,textureless,0.45195138454437256,7320
Full,0038:0072,snow,stereo_only,textured,0.6086121201515198,2066280
Full,0038:0072,snow,mono_only,valid,5.838051795959473,2073600
Full,0038:0072,snow,mono_only,sky,2.979283571243286,1066937
